,formula,c/a,composition,entropy,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,avg_dev/mean CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,MagpieData avg_dev HeatCapacityMolar,MagpieData mean HeatFusion,MagpieData avg_dev HeatFusion,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,PymatgenData mean atomic_radius,PymatgenData avg_dev atomic_radius,avg_dev/mean atomic_radius,PymatgenData mean average_ionic_radius,PymatgenData avg_dev average_ionic_radius,avg_dev/mean average_ionic_radius
0,Ni8Mn4Ga3Na1,1.1916824,Ni8 Mn4 Ga3 Na1,9.813052087,26.75,2.84375,57.5,9.6875,57.59113433,5.651715296,1323.725,501.9125,9.25,2.15625,3.9375,0.1171875,130,9,0.069230769,1.74,0.19625,1.9375,0.1171875,0.1875,0.3046875,7.125,1.953125,0,0,9.25,2.15625,0.0625,0.1171875,0.9375,1.5234375,2.25,1.375,0,0,3.25,1.53125,13.14538614,4.154286099,0,0,0.29777488,0.29761982,2713.1875,472.8125,7489,1419,7.124466188,0.670110719,26.26,0.27625,13.1771875,4.3028125,193.0625,48.3984375,1.38125,0.06171875,0.044683258,0.747083333,0.056458333,0.075571667
1,Ni8Mn4Ga2Na2,1.128582306,Ni8 Mn4 Ga2 Na2,10.0849449,25.5,3.875,53,13.25,54.67030741,7.920134532,1327.9725,495.54125,8.5,2.625,3.875,0.21875,132.75,11.4375,0.086158192,1.685,0.25625,1.875,0.21875,0.125,0.21875,6.5,2.375,0,0,8.5,2.625,0.125,0.21875,0.625,1.09375,2.25,1.375,0,0,3,1.5,13.79450072,5.127957974,0,0,0.29777488,0.29761982,2630.625,555.375,7180.5,1872.25,7.070702125,0.750756812,26.3975,0.458125,12.990625,4.489375,203.375,34.84375,1.4125,0.096875,0.068584071,0.772083333,0.096979167,0.125607124
2,Ni8Mn4Ga3K1,1.196390005,Ni8 Mn4 Ga3 K1,9.813052087,27.25,2.15625,57.5625,9.6015625,58.5979175,4.267388437,1321.57875,505.131875,9.25,2.15625,4,0,132.3125,12.1796875,0.092052433,1.733125,0.205703125,1.9375,0.1171875,0.1875,0.3046875,7.125,1.953125,0,0,9.25,2.15625,0.0625,0.1171875,0.9375,1.5234375,2.25,1.375,0,0,3.25,1.53125,15.88684447,8.266473599,0,0,0.29777488,0.29761982,2705.4375,480.5625,7482,1426,7.074565394,0.744961909,26.345625,0.406796875,13.160625,4.319375,193.0625,48.3984375,1.40625,0.09921875,0.070555556,0.769583333,0.093802083,0.121886843
3,Ni8Mn4Ga2K2,1.133911857,Ni8 Mn4 Ga2 K2,10.0849449,26.5,2.625,53.125,13.09375,56.68387375,5.269307812,1323.68,501.98,8.5,2.625,4,0,137.375,17.21875,0.125341219,1.67125,0.2734375,1.875,0.21875,0.125,0.21875,6.5,2.375,0,0,8.5,2.625,0.125,0.21875,0.625,1.09375,2.25,1.375,0,0,3,1.5,19.27741739,13.45731232,0,0,0.29777488,0.29761982,2615.125,570.875,7166.5,1893.25,6.970900538,0.900459194,26.56875,0.7578125,12.9575,4.5225,203.375,34.84375,1.4625,0.184375,0.126068376,0.817083333,0.175729167,0.215068843
4,Ni8Mn4Ga2Rb2,1.158150762,Ni8 Mn4 Ga2 Rb2,10.0849449,28.75,2.625,53.25,12.9375,62.48006125,7.557669375,1320.67125,506.493125,8.5,2.625,4.125,0.21875,139.5,20.125,0.144265233,1.67125,0.2734375,1.875,0.21875,0.125,0.21875,6.5,2.375,0,0,8.5,2.625,0.125,0.21875,0.625,1.09375,2.25,1.375,0,0,3,1.5,21.47939655,17.31077586,0,0,0.29777488,0.29761982,2606.25,579.75,7251,1766.5,6.950458625,0.931122063,26.75125,1.0771875,12.939375,4.540625,203.375,34.84375,1.48125,0.2171875,0.146624473,0.834583333,0.206354167,0.247254119
5,Ni8Mn4Rb4,1.066940371,Ni8 Mn4 Rb4,8.644238489,29.5,3.75,44.5,20.25,64.44816125,10.50981938,1321.865,504.7025,7,3,4.25,0.375,151.75,34.125,0.224876442,1.5475,0.36375,1.75,0.375,0,0,5.25,2.75,0,0,7,3,0.25,0.375,0,0,2.25,1.375,0,0,2.5,1.25,30.46252155,30.12998922,0,0,0.29777488,0.29761982,2416.75,769.25,6704.5,2586.25,6.722687,1.2727795,27.38,1.84,12.515,5.1625,224,3.5,1.6125,0.36875,0.228682171,0.947083333,0.356458333,0.376374835
6,Ni8Mn4Ga2Cs2,1.05425619,Ni8 Mn4 Ga2 Cs2,10.0849449,31,6,53.375,12.78125,68.40976774,16.45222911,1319.3125,508.53125,8.5,2.625,4.25,0.4375,142.5,25.375,0.178070175,1.6675,0.278125,1.875,0.21875,0.125,0.21875,6.5,2.375,0,0,8.5,2.625,0.125,0.21875,0.625,1.09375,2.25,1.375,0,0,3,1.5,24.60970905,22.78882274,0,0,0.29777488,0.29761982,2604.125,581.875,7294.375,1701.4375,6.91505575,0.984226375,26.895,1.32875,12.926875,4.553125,203.375,34.84375,1.5125,0.271875,0.179752066,0.853333333,0.239166667,0.280273438
7,Ni8Mn4Ga3Mg1,1.19972,Ni8 Mn4 Ga3 Mg1,9.813052087,26.8125,2.7578125,61.625,5.4375,57.67333625,5.538687656,1358.233125,450.1503125,9.3125,2.0703125,3.9375,0.1171875,128.4375,6.8515625,0.053345499,1.76375,0.16359375,2,0,0.1875,0.3046875,7.125,1.953125,0,0,9.3125,2.0703125,0,0,0.9375,1.5234375,2.25,1.375,0,0,3.1875,1.5859375,12.7483028,3.558661099,0,0,0.29777488,0.29761982,2726.125,459.875,7537.125,1370.875,7.281163625,0.480698484,26.0499375,0.15509375,13.5446875,3.9353125,190.875,47.578125,1.3625,0.0359375,0.026376147,0.728333333,0.04,0.054919908
8,Ni8Mn4Ga2Mg2,1.1326,Ni8 Mn4 Ga2 Mg2,10.0849449,25.625,3.71875,61.25,4.875,54.83471125,7.632427813,1396.98875,392.016875,8.625,2.46875,3.875,0.21875,129.625,7.53125,0.058100289,1.7325,0.196875,2,0,0.125,0.21875,6.5,2.375,0,0,8.625,2.46875,0,0,0.625,1.09375,2.25,1.375,0,0,2.875,1.59375,13.00033405,3.936707974,0,0,0.29777488,0.29761982,2656.5,529.5,7276.75,1727.875,7.384097,0.346199,25.977375,0.27709375,13.725625,3.754375,199,35,1.375,0.04375,0.031818182,0.734583333,0.043125,0.05870675
9,Ni8Mn4Ga1Mg3,1.0861,Ni8 Mn4 Ga1 Mg3,9.813052087,24.4375,4.6640625,60.875,4.4375,51.99608625,10.38415734,1435.744375,333.8834375,7.9375,2.6953125,3.8125,0.3046875,130.8125,7.9140625,0.060499283,1.70125,0.22234375,2,0,0.0625,0.1171875,5.875,2.640625,0,0,7.9375,2.6953125,0,0,0.3125,0.5859375,2.25,1.375,0,0,2.5625,1.5234375,13.2523653,4.314754849,0,0,0.29777488,0.29761982,2586.875,599.125,7016.375,2118.4375,7.487030375,0.212471359,25.9048125,0.388429688,13.9065625,3.5734375,207.125,22.8125,1.3875,0.0484375,0.03490991,0.740833333,0.047083333,0.063554555
