,Unnamed: 0,c/a,entropy,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,PymatgenData mean atomic_radius,avg_dev/mean atomic_radius
0,0,1.1916824,9.813052087,57.59113433,5.651715296,1323.725,501.9125,1.74,0.19625,1.9375,0.1875,0,9.25,0.9375,2.25,3.25,1.53125,13.14538614,0,0.29777488,2713.1875,472.8125,7489,1419,7.124466188,0.670110719,26.26,1.38125,0.044683258
1,1,1.128582306,10.0849449,54.67030741,7.920134532,1327.9725,495.54125,1.685,0.25625,1.875,0.125,0,8.5,0.625,2.25,3,1.5,13.79450072,0,0.29777488,2630.625,555.375,7180.5,1872.25,7.070702125,0.750756812,26.3975,1.4125,0.068584071
2,2,1.196390005,9.813052087,58.5979175,4.267388437,1321.57875,505.131875,1.733125,0.205703125,1.9375,0.1875,0,9.25,0.9375,2.25,3.25,1.53125,15.88684447,0,0.29777488,2705.4375,480.5625,7482,1426,7.074565394,0.744961909,26.345625,1.40625,0.070555556
3,3,1.133911857,10.0849449,56.68387375,5.269307812,1323.68,501.98,1.67125,0.2734375,1.875,0.125,0,8.5,0.625,2.25,3,1.5,19.27741739,0,0.29777488,2615.125,570.875,7166.5,1893.25,6.970900538,0.900459194,26.56875,1.4625,0.126068376
4,4,1.158150762,10.0849449,62.48006125,7.557669375,1320.67125,506.493125,1.67125,0.2734375,1.875,0.125,0,8.5,0.625,2.25,3,1.5,21.47939655,0,0.29777488,2606.25,579.75,7251,1766.5,6.950458625,0.931122063,26.75125,1.48125,0.146624473
5,5,1.066940371,8.644238489,64.44816125,10.50981938,1321.865,504.7025,1.5475,0.36375,1.75,0,0,7,0,2.25,2.5,1.25,30.46252155,0,0.29777488,2416.75,769.25,6704.5,2586.25,6.722687,1.2727795,27.38,1.6125,0.228682171
6,6,1.05425619,10.0849449,68.40976774,16.45222911,1319.3125,508.53125,1.6675,0.278125,1.875,0.125,0,8.5,0.625,2.25,3,1.5,24.60970905,0,0.29777488,2604.125,581.875,7294.375,1701.4375,6.91505575,0.984226375,26.895,1.5125,0.179752066
7,7,1.19972,9.813052087,57.67333625,5.538687656,1358.233125,450.1503125,1.76375,0.16359375,2,0.1875,0,9.3125,0.9375,2.25,3.1875,1.5859375,12.7483028,0,0.29777488,2726.125,459.875,7537.125,1370.875,7.281163625,0.480698484,26.0499375,1.3625,0.026376147
8,8,1.1326,10.0849449,54.83471125,7.632427813,1396.98875,392.016875,1.7325,0.196875,2,0.125,0,8.625,0.625,2.25,2.875,1.59375,13.00033405,0,0.29777488,2656.5,529.5,7276.75,1727.875,7.384097,0.346199,25.977375,1.375,0.031818182
9,9,1.0861,9.813052087,51.99608625,10.38415734,1435.744375,333.8834375,1.70125,0.22234375,2,0.0625,0,7.9375,0.3125,2.25,2.5625,1.5234375,13.2523653,0,0.29777488,2586.875,599.125,7016.375,2118.4375,7.487030375,0.212471359,25.9048125,1.3875,0.03490991
